time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-18T03:20:37.830Z,40.4028333,-125.4736667,18.4,3.95,mw,28,292,0.8702,0.25,nc,nc72802856,2017-05-19T04:04:03.375Z,"104km W of Ferndale, California",earthquake,8.55,12.86,,4,reviewed,nc,nc
2017-05-18T00:44:54.910Z,-33.0161,-72.3911,11.72,4.2,mwr,,141,0.633,0.83,us,us10008t6f,2017-05-18T18:11:30.227Z,"71km W of Valparaiso, Chile",earthquake,3.8,4,0.043,52,reviewed,us,us
2017-05-17T23:49:45.572Z,60.039,-153.2424,140.7,2.5,ml,,,,0.41,ak,ak16059041,2017-05-17T23:58:50.891Z,"56km SSW of Redoubt Volcano, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-05-17T22:42:17.170Z,-28.2525,74.276,10,4.7,mb,,65,42.863,0.49,us,us10008t4u,2017-05-17T23:01:07.040Z,"Mid-Indian Ridge",earthquake,10.2,1.7,0.106,27,reviewed,us,us
2017-05-17T22:22:39.390Z,-6.504,148.6849,35,4.6,mb,,147,3.253,0.71,us,us10008t4r,2017-05-17T22:43:08.040Z,"90km E of Finschhafen, Papua New Guinea",earthquake,6.6,2,0.109,25,reviewed,us,us
2017-05-17T21:14:33.850Z,17.9006,-66.1268,35,2.59,md,5,218,0.0678,0.24,pr,pr2017137007,2017-05-17T23:50:17.300Z,"7km SE of Jobos, Puerto Rico",earthquake,2.79,1.43,0.17,4,reviewed,pr,pr
2017-05-17T20:54:06.377Z,58.084,-151.5965,21.4,2.5,ml,,,,0.66,ak,ak16057622,2017-05-17T21:03:09.056Z,"58km NE of Kodiak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-17T20:41:55.360Z,-21.762,-67.6313,223.66,4.5,mb,,79,1.457,0.87,us,us10008t3q,2017-05-17T21:32:20.040Z,"141km NNE of San Pedro de Atacama, Chile",earthquake,7.3,10.7,0.204,7,reviewed,us,us
2017-05-17T16:52:03.590Z,37.3,-98.0955,5.89,2.6,ml,,260,0.078,0.37,us,us10008tfp,2017-05-19T01:16:58.040Z,"6km WNW of Harper, Kansas",earthquake,1.7,3.3,0.157,19,reviewed,ismp,ismp
2017-05-17T16:19:30.100Z,34.3176,69.4521,9.74,4.6,mb,,76,0.404,0.67,us,us10008t1f,2017-05-18T20:25:41.385Z,"23km NW of Hukumati Azrow, Afghanistan",earthquake,5.3,4.4,0.081,45,reviewed,us,us
2017-05-17T15:27:56.440Z,38.2419,73.0943,131.6,4.5,mb,,88,1.339,0.81,us,us10008t0u,2017-05-18T18:12:47.084Z,"76km W of Murghob, Tajikistan",earthquake,5.4,6.6,0.05,116,reviewed,us,us
2017-05-17T15:05:26.630Z,34.123,69.1568,15.19,4.3,mb,,226,0.427,0.82,us,us10008t44,2017-05-18T18:10:58.548Z,"18km NE of Pul-e `Alam, Afghanistan",earthquake,4.1,6.3,0.153,12,reviewed,us,us
2017-05-17T13:46:10.500Z,-6.0823,125.1206,550.17,4.3,mb,,48,3.746,0.81,us,us10008t0l,2017-05-18T05:47:32.040Z,"278km N of Dili, East Timor",earthquake,9.6,12.2,0.122,19,reviewed,us,us
2017-05-17T13:11:39.559Z,51.8334,-178.433,18.1,2.5,ml,,,,0.81,ak,ak16053734,2017-05-18T02:02:19.581Z,"20km WSW of Tanaga Volcano, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2017-05-17T13:02:03.800Z,35.5159,28.4311,17.92,4.2,mb,,87,0.74,1.25,us,us10008t0f,2017-05-17T13:18:22.040Z,"74km SSE of Lardos, Greece",earthquake,4.5,5.7,0.141,14,reviewed,us,us
2017-05-17T12:00:45.950Z,18.272,-64.1703,6,2.5,md,3,346,1.1127,0.2,pr,pr2017137004,2017-05-17T23:53:48.717Z,"49km ESE of Road Town, British Virgin Islands",earthquake,7.02,2.98,0.44,2,reviewed,pr,pr
2017-05-17T11:30:33.540Z,35.9652,27.5154,13.6,4.9,mwr,,42,0.507,1.07,us,us10008t03,2017-05-18T18:10:31.886Z,"42km SW of Emponas, Greece",earthquake,6.7,4.6,0.086,13,reviewed,us,us
2017-05-17T10:45:59.570Z,-24.4054,-67.1755,170.26,5.1,mb,,56,2.32,1.18,us,us10008szw,2017-05-17T11:00:15.040Z,"89km WSW of San Antonio de los Cobres, Argentina",earthquake,7.7,10.4,0.202,8,reviewed,us,us
2017-05-17T10:44:19.590Z,16.4517,-105.0064,10,4.1,mb,,228,4.797,0.81,us,us10008szx,2017-05-17T11:10:10.040Z,"288km SSW of Coahuayana, Mexico",earthquake,12.1,2,0.097,29,reviewed,us,us
2017-05-17T10:43:06.850Z,-0.2546,122.8613,101.41,4.2,mb,,71,0.787,1.38,us,us10008szv,2017-05-17T11:04:35.040Z,"77km N of Luwuk, Indonesia",earthquake,7.5,6.5,0.132,16,reviewed,us,us
2017-05-17T10:28:20.190Z,52.118,159.5898,51.81,4.7,mb,,173,1.073,1.25,us,us10008t00,2017-05-17T11:16:13.040Z,"121km SSE of Petropavlovsk-Kamchatskiy, Russia",earthquake,11,8.6,0.08,48,reviewed,us,us
2017-05-17T10:04:23.990Z,10.9229,-62.1768,91.13,4.7,mb,,120,1.306,0.85,us,us10008szh,2017-05-18T18:13:46.049Z,"40km NNE of Gueiria, Venezuela",earthquake,8.8,11.3,0.1,30,reviewed,us,us
2017-05-17T09:13:29.080Z,14.4103,-103.2482,10,5.2,mb,,179,5.485,0.89,us,us10008syx,2017-05-18T15:51:59.040Z,"Off the coast of Guerrero, Mexico",earthquake,10.3,1.9,0.044,173,reviewed,us,us
2017-05-17T06:21:11.010Z,54.4699,160.697,108.16,4.7,mb,,72,1.891,1.16,us,us10008sy9,2017-05-17T07:24:54.040Z,"206km SE of Esso, Russia",earthquake,8.8,6.7,0.039,198,reviewed,us,us
2017-05-17T06:03:09.140Z,51.5385,-178.4323,20.51,4.1,mb,,180,0.856,1.2,us,us10008sy2,2017-05-17T07:38:46.040Z,"43km SSW of Tanaga Volcano, Alaska",earthquake,11.5,10.5,0.073,51,reviewed,us,us
2017-05-17T05:49:31.820Z,17.938,-68.119,112,2.83,md,5,249,0.6329,0.42,pr,pr2017137001,2017-05-17T23:58:01.333Z,"71km SE of Boca de Yuma, Dominican Republic",earthquake,5.27,3.67,0.02,3,reviewed,pr,pr
2017-05-17T04:43:29.160Z,34.4323333,-119.9998333,1.78,3.03,ml,24,87,0.09683,0.24,ci,ci37646991,2017-05-18T18:09:08.488Z,"12km W of Isla Vista, California",earthquake,0.34,0.56,0.131,9,reviewed,ci,ci
2017-05-17T04:42:25.330Z,34.4191667,-120.0021667,2.25,4.06,mw,47,71,0.1101,0.24,ci,ci37646983,2017-05-19T15:11:42.989Z,"12km W of Isla Vista, California",earthquake,0.27,0.52,,4,reviewed,ci,ci
2017-05-17T02:43:13.064Z,60.6565,-153.3251,172.7,2.6,ml,,,,0.62,ak,ak16049457,2017-05-17T02:50:05.718Z,"37km WNW of Redoubt Volcano, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-05-17T02:12:11.190Z,21.6967,143.0079,297.12,4.6,mb,,35,5.427,0.78,us,us10008swi,2017-05-17T02:36:00.040Z,"234km WNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,10.2,5.2,0.041,173,reviewed,us,us
2017-05-17T01:48:14.438Z,59.7941,-136.5671,0.1,2.5,ml,,,,0.51,ak,ak16048940,2017-05-17T01:59:34.963Z,"79km WNW of Skagway, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-17T00:59:42.457Z,65.4657,-144.7316,0,2.5,ml,,,,0.85,ak,ak16048426,2017-05-17T01:04:06.828Z,"2km WSW of Circle Hot Springs Station, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-17T00:42:20.200Z,-22.0127,-70.0748,46.6,4.5,mb,,126,0.3,0.72,us,us10008sw0,2017-05-17T01:06:59.040Z,"15km NE of Tocopilla, Chile",earthquake,3.8,2.1,0.097,31,reviewed,us,us
2017-05-17T00:26:47.885Z,65.4584,-144.7282,0.9,2.8,ml,,,,0.64,ak,ak16048411,2017-05-17T00:31:42.243Z,"2km SW of Circle Hot Springs Station, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-16T22:36:50.930Z,19.34,-68.5628,46,3.32,md,8,346,1.4447,0.28,pr,pr2017136024,2017-05-18T00:17:22.521Z,"64km NE of Miches, Dominican Republic",earthquake,4.53,17.73,0.1,5,reviewed,pr,pr
2017-05-16T22:02:30.840Z,-20.7054,168.6696,29.61,4.9,mb,,92,1.339,0.78,us,us10008suy,2017-05-16T23:36:09.592Z,"124km NE of Tadine, New Caledonia",earthquake,5.4,5.9,0.096,34,reviewed,us,us
2017-05-16T20:42:25.150Z,36.908,-83.3643333,19.86,2.53,md,22,84,0.3649,0.31,se,se60194366,2017-05-18T18:13:25.029Z,"6km N of Loyall, Kentucky",earthquake,0.51,1.11,0.028,10,reviewed,se,se
2017-05-16T19:58:59.962Z,60.2236,-149.556,37.7,3.1,ml,,,,0.75,ak,ak16046420,2017-05-17T20:43:07.040Z,"19km N of Bear Creek, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-05-16T19:47:00.800Z,-31.9401,-71.7848,64.45,4.3,mb,,173,0.744,1.17,us,us10008stz,2017-05-17T20:32:52.890Z,"67km WSW of Illapel, Chile",earthquake,2.8,10.8,0.307,3,reviewed,us,us
